contract	open	high	low	close	change	chgRate	average	volume	turnover
2017-03-30	Au(T+D)	280.11	280.15	279.25	279.60	-0.03	-0.01%	279.67	59,706.00	16,697,978,000.00
2017-03-29	Au(T+D)	280.90	281.03	279.20	279.63	-0.75	-0.27%	280.06	71,320.00	19,973,880,000.00
2017-03-28	Au(T+D)	280.75	281.30	280.06	280.38	-0.13	-0.05%	280.60	79,608.00	22,338,006,000.00
2017-03-27	Au(T+D)	278.10	280.90	277.68	280.51	2.52	0.91%	279.67	84,894.00	23,742,306,000.00
2017-03-24	Au(T+D)	278.23	279.40	277.38	278.00	-0.26	-0.09%	278.16	83,010.00	23,090,062,000.00
2017-03-23	Au(T+D)	278.15	278.69	277.50	278.26	-0.11	-0.04%	278.12	71,714.00	19,945,098,000.00
2017-03-22	Au(T+D)	276.45	278.75	276.17	278.35	2.52	0.91%	277.69	112,856.00	31,338,982,000.00
2017-03-21	Au(T+D)	276.78	277.25	275.53	275.83	-1.32	-0.48%	276.20	82,292.00	22,729,052,000.00
2017-03-20	Au(T+D)	276.30	277.29	275.70	277.17	1.54	0.56%	276.55	63,186.00	17,474,088,000.00
2017-03-17	Au(T+D)	275.90	276.40	275.35	275.62	-0.02	-0.01%	275.78	72,976.00	20,125,322,000.00
2017-03-16	Au(T+D)	271.30	276.08	270.70	275.64	4.25	1.57%	274.25	134,934.00	37,005,648,000.00
2017-03-15	Au(T+D)	271.83	272.18	270.90	271.39	0.30	0.11%	271.45	73,322.00	19,903,258,000.00
2017-03-14	Au(T+D)	271.63	272.09	271.08	271.09	-1.37	-0.50%	271.67	61,520.00	16,713,139,000.00
2017-03-13	Au(T+D)	270.10	272.60	269.71	272.47	2.34	0.87%	271.31	129,642.00	35,173,172,000.00
2017-03-10	Au(T+D)	271.64	272.94	270.07	270.13	-1.94	-0.71%	271.18	91,784.00	24,889,984,000.00
2017-03-09	Au(T+D)	273.50	273.80	271.54	272.09	-1.44	-0.53%	272.60	90,604.00	24,698,650,000.00
2017-03-08	Au(T+D)	275.00	275.18	273.51	273.54	-1.48	-0.54%	274.13	75,006.00	20,561,396,000.00
2017-03-07	Au(T+D)	275.90	276.50	275.00	275.04	-1.24	-0.45%	275.57	64,066.00	17,654,668,000.00
2017-03-06	Au(T+D)	275.39	277.20	275.32	276.27	0.29	0.11%	276.21	71,844.00	19,844,030,000.00
2017-03-03	Au(T+D)	277.55	277.80	275.55	275.99	-2.13	-0.77%	276.48	106,274.00	29,382,636,000.00
2017-03-02	Au(T+D)	277.56	278.55	276.72	278.12	0.56	0.20%	277.76	75,102.00	20,860,332,000.00
2017-03-01	Au(T+D)	279.37	280.21	277.22	277.57	-1.91	-0.68%	278.25	86,420.00	24,046,364,000.00
2017-02-28	Au(T+D)	279.81	281.47	279.24	279.48	-0.88	-0.31%	279.92	62,924.00	17,613,686,000.00
2017-02-27	Au(T+D)	280.35	280.66	278.90	280.37	0.60	0.21%	280.11	71,538.00	20,038,508,000.00
2017-02-24	Au(T+D)	276.26	279.80	275.81	279.78	3.79	1.37%	278.04	128,748.00	35,797,096,000.00
2017-02-23	Au(T+D)	275.96	276.22	275.00	276.00	0.41	0.15%	275.81	60,936.00	16,806,758,000.00
2017-02-22	Au(T+D)	274.96	276.08	274.20	275.59	0.10	0.04%	275.34	76,802.00	21,146,662,000.00
2017-02-21	Au(T+D)	275.68	275.75	274.95	275.49	0.16	0.06%	275.33	52,276.00	14,393,150,000.00
2017-02-20	Au(T+D)	276.50	276.80	274.70	275.32	-0.62	-0.22%	275.54	63,628.00	17,532,060,000.00
2017-02-17	Au(T+D)	275.55	276.00	275.15	275.94	1.15	0.42%	275.58	48,936.00	13,485,782,000.00
2017-02-16	Au(T+D)	273.49	275.35	272.13	274.75	1.60	0.59%	273.85	92,882.00	25,435,736,000.00
2017-02-15	Au(T+D)	273.95	274.60	272.66	273.16	-0.70	-0.26%	273.47	66,762.00	18,257,404,000.00
2017-02-14	Au(T+D)	274.41	274.41	272.51	273.86	-0.61	-0.22%	273.61	61,304.00	16,773,387,000.00
2017-02-13	Au(T+D)	273.51	275.15	273.20	274.47	1.63	0.60%	274.23	77,382.00	21,220,466,000.00
2017-02-10	Au(T+D)	275.85	276.80	272.72	272.84	-3.45	-1.25%	274.43	90,622.00	24,869,394,000.00
2017-02-09	Au(T+D)	275.50	276.99	275.30	276.30	1.76	0.64%	276.39	77,922.00	21,536,862,000.00
2017-02-08	Au(T+D)	273.63	275.18	273.60	274.54	0.39	0.14%	274.69	75,498.00	20,738,546,000.00
2017-02-07	Au(T+D)	272.25	274.54	272.20	274.16	2.47	0.91%	273.33	99,944.00	27,317,692,000.00
2017-02-06	Au(T+D)	268.70	272.00	268.03	271.70	2.52	0.94%	270.55	85,692.00	23,183,970,000.00
2017-02-03	Au(T+D)	269.10	269.80	268.51	269.18	3.00	1.13%	269.32	25,194.00	6,785,248,500.00
2017-01-26	Au(T+D)	267.82	268.23	265.25	266.17	-1.89	-0.71%	266.39	52,438.00	13,968,960,000.00
2017-01-25	Au(T+D)	269.60	270.00	267.38	268.06	-1.64	-0.61%	268.55	51,458.00	13,819,045,000.00
2017-01-24	Au(T+D)	270.03	270.47	269.56	269.70	-0.48	-0.18%	270.00	36,872.00	9,955,440,000.00
2017-01-23	Au(T+D)	268.15	270.99	268.10	270.19	1.02	0.38%	269.89	71,570.00	19,316,028,000.00
2017-01-20	Au(T+D)	268.24	269.28	267.93	269.16	1.04	0.39%	268.66	57,364.00	15,411,412,000.00
2017-01-19	Au(T+D)	271.01	271.10	267.82	268.11	-2.87	-1.06%	269.14	102,928.00	27,702,044,000.00
